Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

radioHam,block,Workstation,,,Radio Researcher,,,Radio de Pesquisa,,,,,,Rádio de Pesquisa,,,,
radioHamDesc,block,Workstation,,,"Joel will teach you how to craft, but it will cost time... and also money.",,,"Joel te enseñará a hacer manualidades, pero te costará tiempo... y también dinero.",,,,,,"Joel lhe ensinará como criar, mas isso custará tempo... e também dinheiro.",,,,
radioHamSchematic,block,Workstation,,,Radio Researcher Schematic,,,Proyecto de Radio de Pesquisa,,,,,,Projeto de Rádio de Pesquisa,,,,
genericRadioResearcherBundleDescription,items,Item,,,"Here's your schematic, traveler. If you want more, drop in some cash and I will teach you. Good day for you and happy hunting!",,,"Aquí está tu esquema, viajero. Si quieres más, deja algo de dinero en efectivo y te enseñaré. ¡Buen día para ti y feliz caza!",,,,,,"Aqui está o seu esquema, viajante. Se você quiser mais, coloque algum dinheiro e eu vou te ensinar. Bom dia para você e boa caçada!",,,,
foodCanShamBundle,items,Item,,,Can of Sham,,,__NAME__,,,,,,__NAME__,,,,
modGunMuzzleBrakeBundle,items,Item,,,Muzzle Brake Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunLaserSightBundle,items,Item,,,Laser Sight Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunFlashlightBundle,items,Item,,,Weapon Flashlight Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunScopeSmallBundle,items,Item,,,Scope 2x Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunTriggerGroupBurst3Bundle,items,Item,,,Trigger Group: Burst Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunForegripBundle,items,Item,,,Fore Grip Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunChokeBundle,items,Item,,,Shotgun Choke Mod,,,__NAME__,,,,,,__NAME__,,,,
modShotgunSawedOffBarrelBundle,items,Item,,,Sawed-Off Barrel Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunBowArrowRestBundle,items,Item,,,Arrow Rest Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunMeleeTheHunterBundle,items,Item,,,The Hunter Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeTemperedBladeBundle,items,Item,,,Tempered Blade Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeWeightedHeadBundle,items,Item,,,Weighted Head Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeStructuralBraceBundle,items,Item,,,Structural Brace Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeClubBarbedWireBundle,items,Item,,,Barbed Wire Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeClubMetalChainBundle,items,Item,,,Metal Chain Mod,,,__NAME__,,,,,,__NAME__,,,,
modMeleeClubBurningShaftBundle,items,Item,,,Burning Shaft Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorCoolingMeshBundle,items,Item,,,Cooling Mesh Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorImprovedFittingsBundle,items,Item,,,Improved Fittings Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorStoragePocketBundle,items,Item,,,Armor Pocket Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorDoubleStoragePocketBundle,items,Item,,,Armor Double Pocket Mod,,,__NAME__,,,,,,__NAME__,,,,
modArmorHelmetLightBundle,items,Item,,,Helmet Light Mod,,,__NAME__,,,,,,__NAME__,,,,
modVehicleReserveFuelTankBundle,items,Item,,,Vehicle Reserve Fuel Tank Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunBarrelExtenderBundle,items,Item,,,Barrel Extender Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunScopeMediumBundle,items,Item,,,Scope 4x Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunReflexSightBundle,items,Item,,,Reflex Sight Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunTriggerGroupAutomaticBundle,items,Item,,,Trigger Group: Full Auto Mod,,,__NAME__,,,,,,__NAME__,,,,
modGunRetractingStockBundle,items,Item,,,Retracting Stock Mod,,,__NAME__,,,,,,__NAME__,,,,
